Date,Open,High,Low,Close
Thu Jan 09 2025 12:35:00 GMT+0530 (India Standard Time),1730.25,1732.3,1728.05,1730.65
Thu Jan 09 2025 12:40:00 GMT+0530 (India Standard Time),1730.65,1731.3,1726.3,1728.85
Thu Jan 09 2025 12:45:00 GMT+0530 (India Standard Time),1728.85,1729.6,1726.8,1728.0
Thu Jan 09 2025 12:50:00 GMT+0530 (India Standard Time),1728.4,1729.95,1727.0,1729.15
Thu Jan 09 2025 12:55:00 GMT+0530 (India Standard Time),1729.25,1729.9,1726.1,1729.55
Thu Jan 09 2025 13:00:00 GMT+0530 (India Standard Time),1729.55,1731.45,1727.65,1728.5
Thu Jan 09 2025 13:05:00 GMT+0530 (India Standard Time),1728.65,1732.95,1728.65,1732.95
Thu Jan 09 2025 13:10:00 GMT+0530 (India Standard Time),1732.95,1734.0,1730.45,1731.2
Thu Jan 09 2025 13:15:00 GMT+0530 (India Standard Time),1731.2,1731.3,1726.55,1728.35
Thu Jan 09 2025 13:20:00 GMT+0530 (India Standard Time),1728.35,1729.4,1725.0,1725.05
Thu Jan 09 2025 13:25:00 GMT+0530 (India Standard Time),1725.1,1728.7,1725.05,1728.7
Thu Jan 09 2025 13:30:00 GMT+0530 (India Standard Time),1727.55,1729.75,1726.35,1727.05
Thu Jan 09 2025 13:35:00 GMT+0530 (India Standard Time),1727.05,1728.9,1726.4,1728.9
Thu Jan 09 2025 13:40:00 GMT+0530 (India Standard Time),1728.9,1730.3,1727.95,1730.05
Thu Jan 09 2025 13:45:00 GMT+0530 (India Standard Time),1730.05,1732.0,1728.45,1729.7
Thu Jan 09 2025 13:50:00 GMT+0530 (India Standard Time),1729.2,1733.45,1728.55,1732.25
Thu Jan 09 2025 13:55:00 GMT+0530 (India Standard Time),1732.25,1732.45,1729.15,1730.65
Thu Jan 09 2025 14:00:00 GMT+0530 (India Standard Time),1730.6,1730.6,1728.75,1729.1
Thu Jan 09 2025 14:05:00 GMT+0530 (India Standard Time),1729.2,1730.85,1727.8,1729.5
Thu Jan 09 2025 14:10:00 GMT+0530 (India Standard Time),1729.6,1732.25,1728.6,1731.85
Thu Jan 09 2025 14:15:00 GMT+0530 (India Standard Time),1731.85,1732.85,1730.0,1731.9
Thu Jan 09 2025 14:20:00 GMT+0530 (India Standard Time),1731.9,1732.45,1730.55,1732.05
Thu Jan 09 2025 14:25:00 GMT+0530 (India Standard Time),1731.6,1733.7,1731.15,1732.5
Thu Jan 09 2025 14:30:00 GMT+0530 (India Standard Time),1732.5,1732.5,1728.9,1729.7
Thu Jan 09 2025 14:35:00 GMT+0530 (India Standard Time),1729.7,1730.65,1728.05,1729.05
Thu Jan 09 2025 14:40:00 GMT+0530 (India Standard Time),1728.3,1729.9,1726.85,1728.45
Thu Jan 09 2025 14:45:00 GMT+0530 (India Standard Time),1728.45,1728.45,1726.6,1728.45
Thu Jan 09 2025 14:50:00 GMT+0530 (India Standard Time),1728.45,1730.4,1727.55,1730.3
Thu Jan 09 2025 14:55:00 GMT+0530 (India Standard Time),1730.3,1731.85,1728.95,1730.25
Thu Jan 09 2025 15:00:00 GMT+0530 (India Standard Time),1730.15,1731.95,1728.05,1729.65
Thu Jan 09 2025 15:05:00 GMT+0530 (India Standard Time),1729.65,1729.65,1727.15,1727.65
Thu Jan 09 2025 15:10:00 GMT+0530 (India Standard Time),1727.65,1728.5,1725.55,1727.2
Thu Jan 09 2025 15:15:00 GMT+0530 (India Standard Time),1727.6,1730.15,1725.6,1726.2
Thu Jan 09 2025 15:20:00 GMT+0530 (India Standard Time),1726.75,1730.6,1726.2,1727.35
Thu Jan 09 2025 15:25:00 GMT+0530 (India Standard Time),1727.3,1728.95,1721.35,1728.4
Fri Jan 10 2025 09:15:00 GMT+0530 (India Standard Time),1720.1,1731.35,1715.55,1721.55
Fri Jan 10 2025 09:20:00 GMT+0530 (India Standard Time),1723.5,1728.95,1722.55,1724.25
Fri Jan 10 2025 09:25:00 GMT+0530 (India Standard Time),1725.3,1725.3,1712.6,1714.75
Fri Jan 10 2025 09:30:00 GMT+0530 (India Standard Time),1714.75,1715.1,1710.0,1710.0
Fri Jan 10 2025 09:35:00 GMT+0530 (India Standard Time),1710.55,1715.3,1706.5,1712.5
Fri Jan 10 2025 09:40:00 GMT+0530 (India Standard Time),1712.65,1717.55,1710.8,1712.2
Fri Jan 10 2025 09:45:00 GMT+0530 (India Standard Time),1712.2,1712.2,1703.05,1703.85
Fri Jan 10 2025 09:50:00 GMT+0530 (India Standard Time),1703.45,1704.0,1701.65,1702.5
Fri Jan 10 2025 09:55:00 GMT+0530 (India Standard Time),1702.0,1704.15,1697.05,1699.6
Fri Jan 10 2025 10:00:00 GMT+0530 (India Standard Time),1699.6,1701.15,1693.8,1697.8
Fri Jan 10 2025 10:05:00 GMT+0530 (India Standard Time),1697.85,1704.3,1696.45,1701.6
Fri Jan 10 2025 10:10:00 GMT+0530 (India Standard Time),1701.6,1702.7,1697.85,1702.05
Fri Jan 10 2025 10:15:00 GMT+0530 (India Standard Time),1702.5,1705.7,1698.5,1702.95
Fri Jan 10 2025 10:20:00 GMT+0530 (India Standard Time),1702.95,1703.75,1698.0,1701.75
Fri Jan 10 2025 10:25:00 GMT+0530 (India Standard Time),1701.75,1703.5,1696.2,1697.05
Fri Jan 10 2025 10:30:00 GMT+0530 (India Standard Time),1697.05,1699.75,1695.35,1698.8
Fri Jan 10 2025 10:35:00 GMT+0530 (India Standard Time),1698.8,1700.9,1695.15,1695.15
Fri Jan 10 2025 10:40:00 GMT+0530 (India Standard Time),1695.15,1699.75,1692.3,1693.3
Fri Jan 10 2025 10:45:00 GMT+0530 (India Standard Time),1693.25,1694.8,1690.7,1691.95
Fri Jan 10 2025 10:50:00 GMT+0530 (India Standard Time),1691.95,1694.05,1688.4,1690.0
Fri Jan 10 2025 10:55:00 GMT+0530 (India Standard Time),1690.0,1692.1,1689.5,1690.05
Fri Jan 10 2025 11:00:00 GMT+0530 (India Standard Time),1690.0,1694.5,1690.0,1693.35
Fri Jan 10 2025 11:05:00 GMT+0530 (India Standard Time),1693.35,1696.3,1691.85,1695.15
Fri Jan 10 2025 11:10:00 GMT+0530 (India Standard Time),1694.35,1700.7,1693.55,1700.55
Fri Jan 10 2025 11:15:00 GMT+0530 (India Standard Time),1700.55,1702.55,1700.0,1701.4
Fri Jan 10 2025 11:20:00 GMT+0530 (India Standard Time),1701.4,1701.7,1694.15,1694.85
Fri Jan 10 2025 11:25:00 GMT+0530 (India Standard Time),1694.85,1694.85,1690.05,1691.6
Fri Jan 10 2025 11:30:00 GMT+0530 (India Standard Time),1691.6,1695.7,1690.8,1694.85
Fri Jan 10 2025 11:35:00 GMT+0530 (India Standard Time),1694.85,1694.85,1687.25,1688.0
Fri Jan 10 2025 11:40:00 GMT+0530 (India Standard Time),1687.9,1687.9,1678.1,1681.3
Fri Jan 10 2025 11:45:00 GMT+0530 (India Standard Time),1681.3,1684.55,1680.2,1683.7
Fri Jan 10 2025 11:50:00 GMT+0530 (India Standard Time),1683.7,1686.2,1682.0,1682.0
Fri Jan 10 2025 11:55:00 GMT+0530 (India Standard Time),1682.25,1686.6,1680.55,1684.4
Fri Jan 10 2025 12:00:00 GMT+0530 (India Standard Time),1683.7,1688.4,1682.35,1684.2
Fri Jan 10 2025 12:05:00 GMT+0530 (India Standard Time),1684.45,1684.75,1679.0,1679.0
Fri Jan 10 2025 12:10:00 GMT+0530 (India Standard Time),1679.0,1680.0,1677.25,1680.0
Fri Jan 10 2025 12:15:00 GMT+0530 (India Standard Time),1680.0,1685.55,1678.8,1680.5
Fri Jan 10 2025 12:20:00 GMT+0530 (India Standard Time),1680.7,1680.7,1675.6,1675.6
Fri Jan 10 2025 12:25:00 GMT+0530 (India Standard Time),1676.35,1679.2,1675.5,1677.6
Fri Jan 10 2025 12:30:00 GMT+0530 (India Standard Time),1677.9,1678.8,1676.0,1676.7
Fri Jan 10 2025 12:35:00 GMT+0530 (India Standard Time),1676.7,1678.85,1676.0,1676.85
Fri Jan 10 2025 12:40:00 GMT+0530 (India Standard Time),1676.85,1682.3,1676.85,1678.6
Fri Jan 10 2025 12:45:00 GMT+0530 (India Standard Time),1678.6,1682.95,1678.0,1682.5
Fri Jan 10 2025 12:50:00 GMT+0530 (India Standard Time),1682.5,1684.0,1681.45,1683.9
Fri Jan 10 2025 12:55:00 GMT+0530 (India Standard Time),1683.9,1683.9,1681.6,1681.6
Fri Jan 10 2025 13:00:00 GMT+0530 (India Standard Time),1681.65,1681.65,1677.95,1678.0
Fri Jan 10 2025 13:05:00 GMT+0530 (India Standard Time),1678.0,1680.65,1678.0,1680.45
Fri Jan 10 2025 13:10:00 GMT+0530 (India Standard Time),1680.45,1680.65,1676.75,1679.6
Fri Jan 10 2025 13:15:00 GMT+0530 (India Standard Time),1679.6,1681.6,1678.0,1681.05
